"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 15 01:26:13 IST 2021","Mon Mar 15 01:26:22 IST 2021","8583","","Register on the website: validate the registered user","","Register on the website: validate the registered user","Then Sign Out the application","Then Sign Out the application",""
"skipped","Mon Mar 15 00:59:38 IST 2021","Mon Mar 15 00:59:38 IST 2021","0","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","I am on the Register page","I am on the Register page",""
"skipped","Mon Mar 15 01:22:32 IST 2021","Mon Mar 15 01:22:32 IST 2021","0","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","Register the details","Register the details",""
"passed","Mon Mar 15 01:22:32 IST 2021","Mon Mar 15 01:22:32 IST 2021","2","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","","",""
"unknown","Mon Mar 15 01:22:32 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1615751552922","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","When Register the details","When Register the details",""
"passed","Mon Mar 15 01:03:01 IST 2021","Mon Mar 15 01:03:01 IST 2021","1","","Login to Website: validate the registered user","","Login to Website: validate the registered user","","",""
"skipped","Mon Mar 15 01:22:32 IST 2021","Mon Mar 15 01:22:32 IST 2021","0","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","navigate to Web page","navigate to Web page",""
"skipped","Mon Mar 15 01:03:01 IST 2021","Mon Mar 15 01:03:01 IST 2021","0","","Login to Website: validate the registered user","","Login to Website: validate the registered user","Sign Out the application","Sign Out the application",""
"skipped","Mon Mar 15 01:22:32 IST 2021","Mon Mar 15 01:22:32 IST 2021","0","","Register on the website: validate the registered user","","Register on the website: validate the registered user","navigate to Web page","navigate to Web page",""
"broken","Mon Mar 15 01:13:13 IST 2021","Mon Mar 15 01:13:58 IST 2021","45695","","Register on the website: validate the registered user","","Register on the website: validate the registered user","Given I am on the Register page","Given I am on the Register page",""
"passed","Mon Mar 15 01:25:58 IST 2021","Mon Mar 15 01:26:13 IST 2021","15683","","Register on the website: validate the registered user","","Register on the website: validate the registered user","When I login with registered user","When I login with registered user",""
"passed","Mon Mar 15 01:25:37 IST 2021","Mon Mar 15 01:25:58 IST 2021","20500","","Register on the website: validate the registered user","","Register on the website: validate the registered user","Given navigate to Web page","Given navigate to Web page",""
"broken","Mon Mar 15 01:02:52 IST 2021","Mon Mar 15 01:03:01 IST 2021","8450","","Login to Website: validate the registered user","","Login to Website: validate the registered user","Given I am on the Register page","Given I am on the Register page",""
"skipped","Mon Mar 15 01:22:32 IST 2021","Mon Mar 15 01:22:32 IST 2021","0","","Register on the website: validate the registered user","","Register on the website: validate the registered user","I login with registered user","I login with registered user",""
"passed","Mon Mar 15 01:11:53 IST 2021","Mon Mar 15 01:12:13 IST 2021","19358","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","Given I am on the Register page","Given I am on the Register page",""
"skipped","Mon Mar 15 01:22:32 IST 2021","Mon Mar 15 01:22:32 IST 2021","0","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","Sign Out the application","Sign Out the application",""
"passed","Mon Mar 15 01:26:22 IST 2021","Mon Mar 15 01:26:22 IST 2021","0","","Register on the website: validate the registered user","","Register on the website: validate the registered user","","",""
"skipped","Mon Mar 15 01:03:01 IST 2021","Mon Mar 15 01:03:01 IST 2021","0","","Login to Website: validate the registered user","","Login to Website: validate the registered user","I login with registered user","I login with registered user",""
"skipped","Mon Mar 15 00:59:38 IST 2021","Mon Mar 15 00:59:38 IST 2021","0","","Login to Website: validate the registered user","","Login to Website: validate the registered user","I am on the Register page","I am on the Register page",""
"unknown","Mon Mar 15 01:03:01 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1615750381181","","Login to Website: validate the registered user","","Login to Website: validate the registered user","Then Sign Out the application","Then Sign Out the application",""
"unknown","Mon Mar 15 01:22:32 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1615751552923","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","Then Sign Out the application","Then Sign Out the application",""
"unknown","Mon Mar 15 01:03:01 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1615750381181","","Login to Website: validate the registered user","","Login to Website: validate the registered user","When I login with registered user","When I login with registered user",""
"skipped","Mon Mar 15 01:23:58 IST 2021","Mon Mar 15 01:23:58 IST 2021","0","","Register on the website: validate the registered user","","Register on the website: validate the registered user","Sign Out the application","Sign Out the application",""
"unknown","Mon Mar 15 01:22:32 IST 2021","Thu Jan 01 05:30:00 IST 1970","-1615751552870","","Register on the website: Register the User in Automation Practice Website","","Register on the website: Register the User in Automation Practice Website","Given navigate to Web page","Given navigate to Web page",""
